Arrest Number,Race,Ethnicity,Sex,Age,Arrest Date,Arrest Time,Arrest Type,UCR Code,Description,F/M,Counts,Location of Arrest,X,Y,District,Beat,Tract
310579,B,,F,34,4/12/19, 6:30:00PM,On-View,13C,COMMUNICATING THREATS,M,1,2600 FAYETTEVILLE ST,2028488.64,807051.8694,D4,412,1304
336443,B,N,M,32,3/1/23,12:00:00AM,On-View,09A,MURDER (FIRST DEGREE),F,1,4500 NC 55 HWY,2031424.574,784258.8,D4,421,2027
320135,W,N,M,42,9/29/20, 9:39:00AM,Warrant/OFA,26A,OBTAINING PROPERTY BY FALSE PRETENSES,F,1,HOLLOWAY ST/JUNCTION RD,2042122.894,815413.9341,D1,122,1802
836745,B,N,M,35,12/2/24,11:23:00AM,Warrant/OFA,90Z,TRUE BILL OF INDICTMENT,F,1,200 S MANGUM ST,2029360.265,816388.0383,D5,512,2300
330287,B,N,M,18,4/22/22, 6:14:00PM,On-View,520,CARRYING CONCEALED WEAPONS,M,1,100 COMMERCE ST,2031932.581,816000.0182,D1,111,1100
336096,B,N,M,32,3/2/23,11:54:00PM,On-View,35B,POSSESSION OF DRUG PARAPHERNALIA,M,1,1200 N MIAMI BLVD,2037689.554,818045.0224,D1,122,1002
836408,B,N,M,41,11/6/24, 2:10:00PM,On-View,9910,WARRANT SERVICE FOR OTHER JURISDICTION,M,1,200 S MANGUM ST,2029376.412,816287.2086,D5,512,2300
333060,B,N,M,28,11/2/22, 1:52:00AM,On-View,35B,POSSESSION OF DRUG PARAPHERNALIA,M,1,FAYETTEVILLE ST/E UMSTEAD ST,2029937.56,812652.2114,D4,411,2300
321014,W,N,M,45,12/1/20, 1:48:00PM,On-View,520,DISCHARGING WEAPONS GENERALLY,M,1,FAYETTEVILLE RD/I40 W,2019147.477,785828.2195,D4,422,2021
321756,B,N,M,31,1/15/21,10:36:00AM,Warrant/OFA,13A,ASSAULT BY STRANGULATION INFLICT PHYSICAL INJURY,F,1,3900 SWARTHMORE RD,2012195.324,795113.0116,D3,322,2008
314796,B,N,F,18,10/24/19, 3:28:00PM,Warrant/OFA,9910,WARRANT SERVICE FOR OTHER JURISDICTION,,1,500 LIBERTY ST,2031991.026,816590.6214,D1,111,1100
